,"scrape_date","product_collections","Brand","Product","Price Per Gram","unit_of_measurement","Product_URL","THC %","CBD %","Prices","availability","product_sku","thc_percent_low_end_of_range","thc_percent_high_end_of_range","cbd_low_end_of_range","cbd_high_end_of_range","grow_method","trimming_method","growing_region","growing_region_cleaned","latitude","longitude","strain_name","plant_type","potency","brand","licensed_producer","long_product_description","Unnamed: 0","terpenes","actual_product_type","product_name_link_markdown"
1,"2023-12-30","Dried Flower","-ness","Jelly Breath",8.93,"g","https://ocs.ca/products/jelly-breath-ness",29,1,8.93,,842650001439,26,32,0,2,"Indoor",,"Victoria","Victoria",48.4283182,-123.3649533,,"Hybrid","Very Strong","-ness","BZAM MANAGEMENT INC. D.B.A. BZAM CANNABIS","With flavours like this, who wouldn’t want Jelly Breath? This special hang-dried and hand-trimmed flower from -ness™ crosses Jelly Donut and Blackberry Breath into a mouth-watering hybrid with very strong THC potency potential and extra frosty buds. Farnesene, limonene and caryophyllene are the stars of its sweet, citrus, sour and vanilla flavour profile. If you don’t get your hands on this sweet Breath strain, you might end up being the jelly one. Explore Your -ness™",,"Farnasene, Limonene","Dried Flower","[Platinum Cookies Pre-Rolls](https://ocs.ca/products/platinum-cookies-pre-rolls-palmetto)"
2,"2023-12-30","Dried Flower","-ness","Bermuda Sour",,,"https://ocs.ca/products/bermuda-sour-ness-cobra-lips",27,0.5,,,,24,30,0,1,"Indoor",,"Edmonton","Edmonton",53.5462055,-113.491241,"Bermuda Sour","Sativa Dominant","Very Strong","-ness","BZAM MANAGEMENT INC. D.B.A. BZAM CANNABIS","Bermuda Sour from -ness™ is a flavourful hybrid with very strong THC potency potential. A unique pairing of opposites with East Coast Sour Diesel x Triangle Kush lineage, this hang-dried and hand-trimmed flower brings a complex flavour profile that’s earthy, sweet and sour with notes of lemon. As intriguing as the mysterious tropical locale that shares its name? Only one way to know for sure... Explore Your -ness™",,"Limonene, Myrcene","Dried Flower","[Pure Sun CBD Pre-Rolls](https://ocs.ca/products/pure-sun-cbd-pre-rolls-pure-sunfarms)"
3,"2023-12-30","Dried Flower","-ness","Grape Octane",10.41,"g","https://ocs.ca/products/grape-octane-ness-bermuda-sour",29.25,0.5,36.44,"In stock online",842650002054,26,32.5,0,1,"Indoor",,"Victoria","Victoria",48.4283182,-123.3649533,"Grape Octane","Hybrid","Very Strong","-ness","BZAM MANAGEMENT INC. D.B.A. BZAM CANNABIS","Perhaps one of the boldest cultivars from -ness™ yet, Grape Octane is a Grape Pie x High Octane OG cross with very strong THC potency potential. Not only high in THC, this hybrid is also high in flavour, with berry, fruity, spicy, sweet and herbal notes. Plus, it’s grown indoors in BC, hang dried, hand trimmed and cured to preserve its delicate trichomes and flavourful terpenes. Rev your engines and get ready to Explore Your -ness™ with Grape Octane!",,"Caryophyllene, Limonene","Dried Flower","[10th Planet Pre-Rolls](https://ocs.ca/products/10th-planet-pre-rolls-countryside)"
4,"2023-12-30","Dried Flower","@OUEST","Banjo-GPS",,,"https://ocs.ca/products/grandpas-stash-ouest",30,0.5,,,,27,33,0,1,"Indoor",,"Chilliwack","Chilliwack",49.157677,-121.95143,,"Sativa Dominant","Very Strong","@OUEST","RoyalMax Biotechnology Canada","Banjo-GPS: A Bold Fusion of Citrus and Skunky Aromas! Experience the thrilling aroma of Banjo-GPS, our latest breakthrough strain boasting a unique phenotype that perfectly blends zesty citrus notes with tantalizingly dank skunky undertones.",,"Beta-Caryophyllene, Beta-Myrcene, Beta-Ocimene, Beta-Pinene, Limonene","Dried Flower","[ICC + MAC-1 Pre-Roll Combo Pack](https://ocs.ca/products/icc-mac-1-pre-roll-combo-pack-edison-cannabis-co)"
8,"2023-12-30","Dried Flower","34 Street Seed Co.","Pineapple Express Seeds (Feminized)",,,"https://ocs.ca/products/pineapple-express-seeds-34-street-seed-co",,,54,"In stock online",813540000528,,,,,"indoor",,"Edmonton, AB","Edmonton",53.5462055,-113.491241,,"Hybrid",,"34 Street Seed Co.",,"This potent and flavourful cross brings out the best in the classic pineapple express and kicks it up a notch with incredible yields from the lineage. This earthy, and subtle tropical mix is a treat for the nose and produces amazing effects. The quick flowering plant will need some support when grown indoor or outdoor, and has a low stretch rate for those with a height concern. Very easy to grow, along with great yields make this a great choice for new growers.      Yield: High  THC: 17 - 23%  CBD: < 1%  Terpenes: 1.5 - 2%  Flower Period: 8 weeks  Lineage: Pineapple Skunk X Trainwreck",,"Limonene, Myrcene","Dried Flower","[33 Splitter](https://ocs.ca/products/33-splitter-true-fire-co-ltd)"
9,"2023-12-30","Dried Flower","34 Street Seed Co.","Mango CBD 1:1 Seeds (Feminized)",,,"https://ocs.ca/products/mango-cbd-1-1-seeds-feminized-34-street-seed-co",,,,,,,,,,"Indoor",,,,,,,"Sativa Dominant",,"34 Street Seed Co.",,"Mango CBD is a f5 and incredibly stable genetic producing similar results from each seed without the need for guessing. Mango does have a high stretch rate and should be grown with caution indoors, but does respond well to topping and training. Yields are quite large both indoor and outdoor grown without sacrifice to terpene or cannabinoid production. With a flower time of 9 weeks (63 days) and resilience to pests, Mango is a great choice for beginner and experienced growers. Feminized.",,,"Dried Flower","[Purple Balance Pre-Roll](https://ocs.ca/products/purple-balance-pre-rolls-pinnrz)"
10,"2023-12-30","Dried Flower","34 Street Seed Co.","Garlic Cookies Seeds (Feminized)",,,"https://ocs.ca/products/garlic-cookies-seeds-34-street-seed-co",,,,,,,,,,,,,,,,,"Hybrid",,"34 Street Seed Co.",,"Garlic (GMO) Cookies are here to bring a slightly intoxicating, citrus and garlic smell that will waft through your nose holes with delight! This indica dominant cultivar will be hairy! It makes for a very interesting grow, but is recommended for more experienced growers. Expect a medium stretch rate, making it great for growing indoors and outdoors with an average sized yield.",,,"Dried Flower","[HHH Pre-Roll](https://ocs.ca/products/hhh-pre-roll-the-bc-bud-co)"
11,"2023-12-30","Dried Flower","34 Street Seed Co.","Dessert Multipack Seeds",,,"https://ocs.ca/products/dessert-multipack-seeds-34-street-seed-co",,,58.8,"In stock online",813540001990,,,,,"Indoor",,"Edmonton","Edmonton",53.5462055,-113.491241,,"Hybrid",,"34 Street Seed Co.",,"The 34 Street Seed Co Dessert Multipack is a great option for growers looking for many different genetics to grow at once. The seeds are distinguished by their colour-coated surface. The Dessert Multipack includes 2 Chocolope, 2 Chocolate Mint OG and 2 Biscotti seeds – all bringing the sweetness and delicious taste that will leave your taste-buds watering. Chocolope is a sativa-dominant cross of Chocolate Thai x Cannalope Haze and grows beautiful dark coloured buds with golden hairy pistils. It brings a good yield and is perfect for outdoor growers. Chocolate Mint OG has a medium stretch rate perfect for indoor and outdoor growers. You will see great bud sites with a gorgeous terpene profile and high THC potency. Biscotti is an indica-leaning cross of Gelato #25 x Florida OG with beautiful hues of purple in late flower and an aroma of sweetness with hints of spicy gas. With a medium stretch rate, this tasty treat can easily hit into the early to mid 20’s for potency.",,,"Dried Flower","[Pineapple Nuken](https://ocs.ca/products/pineaple-nuken-divvy)"
12,"2023-12-30","Dried Flower","34 Street Seed Co.","Kush Cookies Seeds",,,"https://ocs.ca/products/kush-cookies-seeds-34-street-seed-co",,,54,"In stock online",813540001938,,,,,"Indoor",,"Edmonton","Edmonton",53.5462055,-113.491241,,"Indica Dominant",,"34 Street Seed Co.",,"Kush Cookies or cookies Kush is an indica-leaning plant with beautiful notes of sweet citrus & spice from its parents GSC and OG Kush. It comes with a medium stretch rate with bright green buds and gorgeous orange hairs. Kush Cookies is very susceptible to training making it a great plant to grow indoors and outdoors with THC levels being able to hit into the high 20’s.",,,"Dried Flower","[Banjo-GPS](https://ocs.ca/products/grandpas-stash-ouest)"
13,"2023-12-30","Dried Flower","3Saints","Kush Cookies",4.82,"g","https://ocs.ca/products/kush-cookies-3saints-1",27,0.15,4.82,,800129900171,24,30,0,0.3,"Hybrid-Greenhouse",,"Becancour","Becancour",46.339343,-72.433205,"GMO Cookies x OZ Kush","Indica Dominant","Very Strong","3Saints","Greentone Enterprises Inc.","A rare lineage of GMO CKS X OZ Kush delivering highly aromatic notes of savoury herbs & spicy earth, with undertones of citrus. Sun grown & rain watered which promotes better and more varied terpenes (meaning more flavour and entourage effect for you) and given a slow & steady cure for a deeper, richer experience. Hand harvested, hang dried and dry trimmed to protect those hard-won trichomes. Average 4.4% terps. Top terps: caryophyllene, myrcene, limonene and linalool. HAIL MARY JANE.",,"Caryophyllene, Limonene, Linalool, Myrcene","Dried Flower","[Blackberry Gelato Pre-Rolls](https://ocs.ca/products/blackberry-gelato-pre-rolls-wildlife)"
